ID,rho_event,beta_event,rho_event_raw,beta_event_raw,rho_event_nc,beta_event_nc,n_pairs,flag_imputed,flag_clipped
Exp_4755,0.740970,0.259030,0.740970,0.259030,0.870540,0.129460,266,0,0
Exp_4756,0.761541,0.238459,0.761541,0.238459,1.000000,0.000000,34,0,0
Exp_4763,0.563665,0.436335,0.563665,0.436335,0.540418,0.459582,33,0,0
Exp_4768,0.560163,0.439837,0.560163,0.439837,0.191433,0.808567,266,0,0
Exp_4773,0.550402,0.449598,0.550402,0.449598,0.403124,0.596876,264,0,0
Exp_4776,0.825346,0.174654,0.825346,0.174654,0.043080,0.956920,35,0,0
Exp_4778,0.703271,0.296729,0.703271,0.296729,0.822183,0.177817,266,0,0
Exp_4783,0.597093,0.402907,0.597093,0.402907,0.430354,0.569646,266,0,0
Exp_4791,0.643805,0.356195,0.643805,0.356195,0.612832,0.387168,264,0,0
Exp_4797,0.439220,0.560780,0.439220,0.560780,0.316066,0.683934,266,0,0
Exp_4798,0.696372,0.303628,0.696372,0.303628,0.911683,0.088317,264,0,0
Exp_4872,0.679434,0.320566,0.679434,0.320566,0.939228,0.060772,266,0,0
Exp_4894,0.640950,0.359050,0.640950,0.359050,0.327367,0.672633,266,0,0
Exp_4898,0.841574,0.158426,0.841574,0.158426,1.000000,0.000000,30,0,0
Exp_4902,0.256307,0.743693,0.256307,0.743693,0.209209,0.790791,266,0,0
Exp_4903,0.566686,0.433314,0.566686,0.433314,0.671930,0.328070,265,0,0
Exp_4930,0.931499,0.068501,0.931499,0.068501,0.811548,0.188452,33,0,0
Exp_4939,0.430910,0.569090,0.430910,0.569090,0.438719,0.561281,259,0,0
Exp_4967,0.964793,0.035207,0.964793,0.035207,1.000000,0.000000,266,0,0
Exp_4987,0.700420,0.299580,0.700420,0.299580,0.023559,0.976441,199,0,0
Exp_5004,0.735730,0.264270,0.735730,0.264270,0.887344,0.112656,199,0,0
Exp_5024,0.633101,0.366899,0.633101,0.366899,0.679097,0.320903,196,0,0
Exp_5035,0.425864,0.574136,0.425864,0.574136,0.254264,0.745736,199,0,0
Exp_5042,0.464907,0.535093,0.464907,0.535093,0.437572,0.562428,198,0,0
Exp_5048,0.510454,0.489546,0.510454,0.489546,0.634176,0.365824,199,0,0
Exp_5054,0.992038,0.007962,0.992038,0.007962,0.001000,0.999000,199,0,0
Exp_5074,0.482744,0.517256,0.482744,0.517256,0.315232,0.684768,194,0,0
Exp_5090,0.746318,0.253682,0.746318,0.253682,0.171941,0.828059,199,0,0
Exp_5113,0.371359,0.628641,0.371359,0.628641,0.306907,0.693093,199,0,0
Exp_5120,0.891458,0.108542,0.891458,0.108542,0.226964,0.773036,199,0,0
Exp_5129,0.428243,0.571757,0.428243,0.571757,0.337912,0.662088,199,0,0
Exp_5139,0.473969,0.526031,0.473969,0.526031,0.520039,0.479961,196,0,0
Exp_5151,0.357900,0.642100,0.357900,0.642100,0.205875,0.794125,197,0,0
Exp_5168,0.801776,0.198224,0.801776,0.198224,0.921449,0.078551,198,0,0
Exp_5185,0.449752,0.550248,0.449752,0.550248,0.296120,0.703880,199,0,0
Exp_5204,0.516864,0.483136,0.516864,0.483136,0.238929,0.761071,193,0,0
Exp_5328,0.928197,0.071803,0.928197,0.071803,0.001000,0.999000,199,0,0
Exp_5332,0.566656,0.433344,0.566656,0.433344,0.001000,0.999000,194,0,0
Exp_5356,0.729859,0.270141,0.729859,0.270141,0.680851,0.319149,198,0,0
Exp_5364,0.658447,0.341553,0.658447,0.341553,0.705394,0.294606,194,0,0
