ID,Participation_Experiment,Recruitment_organisation,Municipality,Region,Survey1_answered,Survey2_answered,Survey3_answered,Participation_Phase,Control_Price_Phase1,Control_Price_Phase2,Group_Phase1,Group_Phase2,Participation_status_Phase1,Participation_status_Phase2
Ipsos_829,No,Market research company,Bergen,Bergen,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_830,No,Market research company,Bergen,Bergen,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_831,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_832,No,Market research company,Trondheim,Trondheim,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_833,No,Market research company,Asker,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_834,No,Market research company,Trondheim,Trondheim,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_835,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_836,No,Market research company,Bergen,Bergen,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_837,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_838,No,Market research company,Drammen,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_839,No,Market research company,Trondheim,Trondheim,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_840,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_841,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_842,No,Market research company,Bærum,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_843,No,Market research company,Trondheim,Trondheim,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_844,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_845,No,Market research company,Trondheim,Trondheim,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_846,No,Market research company,Lillestrøm,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_847,No,Market research company,Lillestrøm,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_848,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_849,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_850,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_851,No,Market research company,Tromsø,Tromsø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_852,No,Market research company,Bergen,Bergen,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_853,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_854,No,Market research company,Bergen,Bergen,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_855,No,Market research company,Bergen,Bergen,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_856,No,Market research company,Bergen,Bergen,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_857,No,Market research company,Stavanger,Stavanger,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_858,No,Market research company,Bærum,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_859,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_860,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_861,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_862,No,Market research company,Trondheim,Trondheim,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
